Authors,Authors_link,Title,Title_link,Date
"Usak, M., Karakus, M., Ocean, J., Ersozlu, Z.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"Self-efficacy, affective well-being, and intent-to-leave by science and mathematics teachers: A structural equation model",https://pureportal.coventry.ac.uk/en/publications/self-efficacy-affective-well-being-and-intent-to-leave-by-science,1 Apr 2021
"Usak, M., Karakus, M., Yucel, S., ersozlu, A.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"Spirituality and Well-Being of Children, Adolescent, and Adult Students: A Scientific Mapping of the Literature",https://pureportal.coventry.ac.uk/en/publications/spirituality-and-well-being-of-children-adolescent-and-adult-stud,Dec 2021
"Alsop, S., Nesi, H.","https://pureportal.coventry.ac.uk/en/persons/hilary-nesi,  https://pureportal.coventry.ac.uk/en/persons/sian-alsop",Stories and scenarios: lecturers’ use of fantastic hypothetical events,https://pureportal.coventry.ac.uk/en/publications/stories-and-scenarios-lecturers-use-of-fantastic-hypothetical-eve,Sept 2021
"Harrison, P., Liu, D., DeWinter, A., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/peter-harrison",Students’ perceptions and experiences of teaching and learning in transnational higher education in China: implications of the intercultural dialogue framework,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-teaching-and-learning-in-,17 Mar 2021
"Hodds, M.",https://pureportal.coventry.ac.uk/en/persons/mark-hodds,The early impact of the Covid-19 pandemic on mathematical competencies on entry into a UK university,https://pureportal.coventry.ac.uk/en/publications/the-early-impact-of-the-covid-19-pandemic-on-mathematical-compete,1 Dec 2021
"Courtney, M., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,The Factors Predicting the Achievement of the Immigrant Students: A Multilevel Analysis of PISA 2018,https://pureportal.coventry.ac.uk/en/publications/the-factors-predicting-the-achievement-of-the-immigrant-students-,12 Apr 2021
"Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,The Promise of Higher Education,https://pureportal.coventry.ac.uk/en/publications/the-promise-of-higher-education,Dec 2021
"Carroll, J., Breadmore, H., Enderby, J.","https://pureportal.coventry.ac.uk/en/persons/jodie-enderby,  https://pureportal.coventry.ac.uk/en/persons/julia-carroll","The roles of morphology, phonology and prosody in reading and spelling multisyllabic words",https://pureportal.coventry.ac.uk/en/publications/the-roles-of-morphology-phonology-and-prosody-in-reading-and-spel,Jul 2021
"Mahon, D., Arnab, S., Morini, L., Mohamad, F. S., Minoi, J-L., Masters, A.","https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,  https://pureportal.coventry.ac.uk/en/persons/alex-masters,  https://pureportal.coventry.ac.uk/en/persons/luca-morini","Towards the mapping of learning, playful, and frugal aspects for developing 21st century competencies and resilience",https://pureportal.coventry.ac.uk/en/publications/towards-the-mapping-of-learning-playful-and-frugal-aspects-for-de,24 Sept 2021
"Crawford, M., Outhwaite, D.",https://pureportal.coventry.ac.uk/en/persons/megan-crawford,Unlocking creative leadership in the primary school,https://pureportal.coventry.ac.uk/en/publications/unlocking-creative-leadership-in-the-primary-school,11 Oct 2021
"Alsop, S., Giaimo, G., Xu, X., King, V.",https://pureportal.coventry.ac.uk/en/persons/sian-alsop,Uses of corpus linguistics in education research: An adjustable lens,https://pureportal.coventry.ac.uk/en/publications/uses-of-corpus-linguistics-in-education-research-an-adjustable-le,2021
"Angelov, D.",https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov,Using narrative conventions to analyse travel stories,https://pureportal.coventry.ac.uk/en/publications/using-narrative-conventions-to-analyse-travel-stories,1 May 2021
"Jacobo, J.",https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo,Where Her Breast Wasn't There: Transfemininity and the Philippine Modern,https://pureportal.coventry.ac.uk/en/publications/where-her-breast-wasnt-there-transfemininity-and-the-philippine-m,21 Jul 2021
